,month,year,count,mean,std,min,25%,50%,75%,max
0,1,2001,21.0,17120.48,619.19,15425.0,16721.0,17024.0,17673.0,17889.0
1,1,2002,21.0,13401.43,576.77,12501.0,13011.0,13232.0,13872.0,14379.0
2,1,2003,22.0,11486.23,555.68,10517.0,10991.25,11625.5,11942.0,12243.0
3,1,2004,21.0,23412.9,635.23,21851.0,23155.0,23471.0,23852.0,24350.0
4,1,2005,20.0,24432.9,462.86,23610.0,24170.75,24368.5,24705.75,25722.0
5,1,2006,21.0,36189.48,1292.21,33507.0,35337.0,35952.0,36858.0,38383.0
6,1,2007,21.0,43443.0,952.6,42007.0,42670.0,43428.0,44177.0,45383.0
7,1,2008,21.0,59645.24,2839.35,53709.0,57506.0,59907.0,62081.0,63515.0
8,1,2009,21.0,39568.29,1417.41,37272.0,38543.0,39342.0,40244.0,42312.0
9,1,2010,19.0,68578.16,2116.51,65070.0,66245.0,69801.0,70251.5,70729.0
10,1,2011,20.0,69779.65,1367.23,66575.0,69353.5,70092.5,70637.0,71633.0
11,1,2012,20.0,60841.5,1639.2,58546.0,59340.0,60304.0,62411.0,63072.0
12,1,2013,21.0,61533.57,962.45,59337.0,61170.0,61728.0,61966.0,63312.0
13,1,2014,22.0,49139.73,1176.98,47244.0,47961.0,49311.0,50004.5,50981.0
14,1,2015,21.0,48369.38,765.25,46908.0,47762.0,48140.0,48840.0,49943.0
15,1,2016,19.0,39390.16,1574.67,37497.0,38044.0,38944.0,40509.0,42419.0
16,1,2017,21.0,63533.62,1765.58,59589.0,62071.0,63951.0,64521.0,66191.0
17,1,2018,21.0,80827.38,2450.93,77891.0,79071.0,79832.0,81675.0,85531.0
18,1,2019,21.0,94496.05,2012.71,91012.0,93613.0,94474.0,96010.0,97677.0
19,1,2020,22.0,116904.0,1472.0,113761.0,116022.0,116791.0,118208.75,119528.0
20,1,2021,19.0,120126.21,2695.44,115882.0,118500.5,119851.0,121998.0,125077.0
21,1,2022,21.0,106724.38,3606.47,101006.0,103779.0,106692.0,109102.0,112388.0
22,1,2023,22.0,110740.86,2804.62,104166.0,109216.5,111736.0,112489.5,114195.0
23,1,2024,11.0,131449.73,1033.58,129294.0,130914.5,131447.0,132225.0,132834.0
24,2,2001,18.0,16596.61,543.44,15594.0,16085.25,16863.5,17031.0,17243.0
25,2,2002,18.0,13230.89,545.51,12513.0,12748.75,13183.5,13554.75,14212.0
26,2,2003,20.0,10350.05,223.46,9995.0,10191.25,10306.0,10509.25,10910.0
27,2,2004,18.0,21969.67,602.9,20951.0,21628.0,21965.5,22258.0,23197.0
28,2,2005,18.0,26551.39,1178.89,24149.0,26331.5,26640.5,27031.5,28436.0
29,2,2006,18.0,37550.78,836.45,36114.0,36905.25,37312.5,38367.75,38610.0
30,2,2007,18.0,45163.83,929.99,43145.0,44644.75,45241.5,45985.75,46452.0
